date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:43:39	78992/78992	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2029%20Sep%202017%2013:43:36%20GMT	../static/RDJ/robots.txt		(from )
14:43:39	79375/79375	---MCZ	200	added ('OK')	text/html	date:Fri,%2029%20Sep%202017%2013:43:37%20GMT	../static/RDJ/	D:/RDJ_Prototype/RDJ/www.rdjstartups.ie/index.html	(from )
14:43:39	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%220919deae29d01:0%22	../static/RDJ/favicon.ico?ver=2	D:/RDJ_Prototype/RDJ/www.rdjstartups.ie/favicon77ae.ico	(from ../static/RDJ/)
14:43:40	12028/12028	---M--	200	added ('OK')	image/png	etag:%226576692e42c3d21:0%22	../static/RDJ/faviconset/apple-touch-icon.png	D:/RDJ_Prototype/RDJ/www.rdjstartups.ie/faviconset/apple-touch-icon.png	(from ../static/RDJ/)
14:43:40	8477/8477	---M--	200	added ('OK')	image/png	etag:%228fb3642e42c3d21:0%22	../static/RDJ/faviconset/favicon-32x32.png	D:/RDJ_Prototype/RDJ/www.rdjstartups.ie/faviconset/favicon-32x32.png	(from ../static/RDJ/)
14:43:40	7599/7599	---M--	200	added ('OK')	image/png	etag:%22bdcc582e42c3d21:0%22	../static/RDJ/faviconset/favicon-16x16.png	D:/RDJ_Prototype/RDJ/www.rdjstartups.ie/faviconset/favicon-16x16.png	(from ../static/RDJ/)
14:43:40	274/274	---M--	200	added ('OK')	application/json	etag:%22c9e27e2e42c3d21:0%22	../static/RDJ/faviconset/manifest.json	D:/RDJ_Prototype/RDJ/www.rdjstartups.ie/faviconset/manifest.json	(from ../static/RDJ/)
14:43:41	1767/1767	---M--	200	added ('OK')	image/svg+xml	etag:%22c9e27e2e42c3d21:0%22	../static/RDJ/faviconset/safari-pinned-tab.svg	D:/RDJ_Prototype/RDJ/www.rdjstartups.ie/faviconset/safari-pinned-tab.svg	(from ../static/RDJ/)
14:43:41	265/265	---M-Z	200	added ('OK')	text/xml	etag:%22bdcc582e42c3d21:0%22	../static/RDJ/faviconset/browserconfig.xml	D:/RDJ_Prototype/RDJ/www.rdjstartups.ie/faviconset/browserconfig.xml	(from ../static/RDJ/)
14:43:41	10990/10990	---M--	200	added ('OK')	image/x-icon	etag:%22545d752e42c3d21:0%22	../static/RDJ/faviconset/favicon.ico	D:/RDJ_Prototype/RDJ/www.rdjstartups.ie/faviconset/favicon.ico	(from ../static/RDJ/)
14:43:41	208772/208772	---M-Z	200	added ('OK')	text/css	etag:%22a48364d91036d31:0%22	../static/RDJ/css/application.css?v=1.2	D:/RDJ_Prototype/RDJ/www.rdjstartups.ie/css/application7839.css	(from ../static/RDJ/)
14:43:43	1950/1950	---M-Z	200	added ('OK')	application/javascript	etag:%228826a05f9f4d21:0%22	../static/RDJ/assets/jquery/imageMapResizer.min.js	D:/RDJ_Prototype/RDJ/www.rdjstartups.ie/assets/jquery/imageMapResizer.min.js	(from ../static/RDJ/)
